data_extracao,codigo,nome,telefone,logradouro,numero,latitude,longitude
10/03/2020 01:58,229,PRAÇA MARECHAL DEODORO(TEATRO SÃO PEDRO),,R GEN CAMARA,521,"-30,0319","-51,2302"
10/03/2020 01:58,270,CABRAL,3379-1744,R CABRAL,15,"-30,0331","-51,2082"
10/03/2020 01:58,372,MARILAND X AMERICA,,AV MARILAND,431,"-30,0186","-51,1943"
10/03/2020 01:58,393,SÃO MANOEL X LEOPOLDO BIER,,R SAO MANOEL,1213,"-30,0447","-51,2046"
10/03/2020 01:58,17,BOURBON ASSIS BRASIL,3343-5607,AV ASSIS BRASIL,200,"-30,0081","-51,184"
10/03/2020 01:58,76,JERÔNIMO DE ORNELAS X JACINTO GOMES,3223-2512,AV JERONIMO DE ORNELAS,601,"-30,0403","-51,2094"
10/03/2020 01:58,415,BERNARDINO AMORIM X SATURNINO VANDERLOTE,,AV BERNARDINO SILVEIRA DE AMORIM,3450,"-30,0058","-51,0969"
10/03/2020 01:58,57,PRAÇA GUIA LOPES (TERESÓPOLIS - FIM DA LINHA),3336-3342,,0,"-30,0811","-51,2122"
10/03/2020 01:58,224,SHOPPING NOVA OLARIA,,R GEN LIMA E SILVA,776,"-30,0393","-51,2201"
10/03/2020 01:58,333,CINCO DE NOVEMBRO X SEPÉ TIARAJÚ,,AV CINCO DE NOVEMBRO,30,"-30,0756","-51,2145"
10/03/2020 01:58,41,PRAIA DE BELAS SHOPPING,(51) 3231-4433,AV BORGES DE MEDEIROS,2700,"-30,0512","-51,2297"
10/03/2020 01:58,410,24 DE OUTUBRO X MARILAND,,R VINTE QUATRO DE OUTUBRO,1427,"-30,0222","-51,1943"
10/03/2020 01:58,119,PANAMERICANA X CATAMARCA,3344-4490,AV PANAMERICANA,104,"-30,0096","-51,1512"
10/03/2020 01:58,96,ÁLVARO ALVIM (HCPA),3331-0524,RUA PROF. ÁLVARO ALVIM,436,"-30,0374","-51,1976"
10/03/2020 01:58,444,ASSIS BRASIL (FORO SARANDI),,AV. ASSIS BRASIL,7625,"-29,9869","-51,1211"
10/03/2020 01:58,337,FARRAPOS X CONDE DE PORTO ALEGRE,,AV FARRAPOS,1962,"-30,0149","-51,2056"
10/03/2020 01:58,348,GIORDANO BRUNO X PROTÁSIO ALVES,,R GIORDANO BRUNO,388,"-30,0372","-51,2065"
10/03/2020 01:58,208,ANDRADAS X JOÃO MANOEL,,R GEN JOAO MANOEL,290,"-30,0312","-51,2334"
10/03/2020 01:58,402,ANEXO Hospital Moinhos de Ventos,,R TIRADENTES,333,"-30,0245","-51,2082"
10/03/2020 01:58,187,ORFANOTROFIO (UNIVERSIDADE UNIRITTER),,R ORFANOTROFIO,570,"-30,0806","-51,2193"
10/03/2020 01:58,209,SIQUEIRA CAMPOS X JOÃO MANOEL,,R SIQUEIRA CAMPOS,735,"-30,0297","-51,2344"
10/03/2020 01:58,232,CAPITÃO MONTANHA X SIQUEIRA CAMPOS,,R CAPITÃO MONTANHA,37,"-30,0286","-51,2324"
10/03/2020 01:58,6,BARRA SHOPPING SUL,3266-6514,AV DIARIO DE NOTICIAS,0,"-30,0812","-51,2464"
10/03/2020 01:58,65,HOSPITAL MÃE DE DEUS,3233-9531,R JOSE DE ALENCAR,286,"-30,0596","-51,2288"
10/03/2020 01:58,251,JUSTIÇA FEDERAL (ANEXO),,R OTAVIO FRANCISCO CARUSO DA ROCHA,600,"-30,0401","-51,2348"
10/03/2020 01:58,166,CEL MASSOT X CEL ARISTIDES,,R CEL MASSOT,400,"-30,1003","-51,2447"
10/03/2020 01:58,269,HOSPITAL SANTA CASA (ÁREA INTERNA),32125526,AV INDEPENDENCIA,155,"-30,0296","-51,2199"
10/03/2020 01:58,335,FARIA SANTOS X ARTIGAS,,R FARIA SANTOS,589,"-30,0481","-51,1912"
10/03/2020 01:58,21,JOÃO PESSOA (CENTRO COMERCIAL),3223-7447,AV JOAO PESSOA,1788,"-30,0454","-51,2131"
10/03/2020 01:58,131,BEZERRA DE MENEZES X ASSIS BRASIL,3361-3372,R BEZERRA DE MENEZES,102,"-30,0117","-51,1691"
10/03/2020 01:58,452,MARQUÊS DO HERVAL X QUINTINO BOCAIÚVA,,R. MARQUÊS DO HERVAL,540,"-30,0212","-51,1989"
10/03/2020 01:58,97,OSCAR BITTENCOURT X JOSÉ DE ALENCAR,3233-2297,R DR OSCAR BITTENCOURT,203,"-30,0601","-51,2248"
10/03/2020 01:58,253,HOTEL TULIP INN,3221-5477,AV ALBERTO BINS,308,"-30,0281","-51,2236"
10/03/2020 01:58,405,VENANCIO AIRES X AUGUSTO PESTANA,,AV VENANCIO AIRES,1355,"-30,0368","-51,2089"
10/03/2020 01:58,374,MONTEIRO LOBATO X SÃO MANOEL,,R MONTEIRO LOBATO,236,"-30,0539","-51,197"
10/03/2020 01:58,482,PADRE CACIQUE(BEIRA RIO),,AV PADRE CACIQUE,891,"-30,0283","-51,2285"
10/03/2020 01:58,357,JERONIMO DE ORNELAS X SANTANA,,AV JERONIMO DE ORNELAS,287,"-30,0419","-51,2119"
10/03/2020 01:58,375,MOURA AZEVEDO X PRES FRANKLIN ROOSEVELT,,R MOURA AZEVEDO,517,"-30,0113","-51,2045"
10/03/2020 01:58,20,SILVA JARDIM X ANITA GARIBALDI,3331-2612,R SILVA JARDIM,581,"-30,0272","-51,1901"
10/03/2020 01:58,230,GEN CAMARA X GEN ANDRADE NEVES,,R GEN CAMARA,376,"-30,0307","-51,2299"
10/03/2020 01:58,284,TRIBUNAL DE JUSTIÇA ESTADUAL,32110505,AV BORGES DE MEDEIROS,1565,"-30,0429","-51,2289"
10/03/2020 01:58,35,GENERAL PORTINHO X ANDRADAS,3228-7541,R GEN PORTINHO,199,"-30,0326","-51,2374"
10/03/2020 01:58,345,FRANCISCO TREIN X PR SADY CONCEIÇÃO,,AV FRANCISCO TREIN,596,"-30,0163","-51,1592"
10/03/2020 01:58,94,JARDIM PLANALTO,3347-2590,R VITORIO FRANCISCO GIORDANI,300,"-30,0109","-51,1357"
10/03/2020 01:58,362,MIN DE OLIVEIRA LIMA X PRESIDENTE JUAREZ,,R MINISTRO OLIVEIRA LIMA,21,"-30,0039","-51,1465"
10/03/2020 01:58,403,TITO ZAMBECARI X LUCAS DE OLIVEIRA,,R TITO LIVIO ZAMBECARI,167,"-30,0287","-51,1945"
10/03/2020 01:58,128,CUNHA LOUZADA X OSCAR PEREIRA,3339-6812,R GEN CUNHA LOUZADA,10,"-30,0694","-51,2047"
10/03/2020 01:58,299,"ABILIO AZAMBUJA X SÃO BENEDITO, PROF.",,R PROF ABILIO AZAMBUJA,555,"-30,048","-51,1666"
10/03/2020 01:58,450,MONTE CRISTO X EDUARDO PRADO,,AV. MONTE CRISTO,1194,"-30,1233","-51,2215"
10/03/2020 01:58,102,SHOPPING CENTER IGUATEMI,3334-5545,AV JOAO WALLIG,1800,"-30,0254","-51,1632"
10/03/2020 01:58,220,ZERO HORA,,R ZERO HORA,5,"-30,0483","-51,2174"
10/03/2020 01:58,243,MAL FLORIANO PEIXOTO X ANDRADAS,,R MARECHAL FLORIANO PEIXOTO,91,"-30,0298","-51,2269"
10/03/2020 01:58,294,COMENDADOR MANOEL PEREIRA X CEL VICENTE,,R COMENDADOR MANOEL PEREIRA,72,"-30,026","-51,2217"
10/03/2020 01:58,13,CARAZINHO X PROTÁSIO ALVES,3334-3123,AV PROTASIO ALVES,2657,"-30,0434","-51,1826"
10/03/2020 01:58,44,CORONEL BORDINI X 24 DE OUTUBRO,3342-5319,R CEL BORDINI,509,"-30,0225","-51,197"
10/03/2020 01:58,328,CARLOS S. MARTINS PACHECO X ASSIS BRASIL,,R CARLOS SILVEIRA MARTINS PACHECO,114,"-30,0107","-51,1594"
10/03/2020 01:58,12,CASTRO DE MENEZES X WENCESLAU ESCOBAR,3264-6299,R DR CASTRO DE MENEZES,700,"-30,1017","-51,249"
10/03/2020 01:58,324,CONCEIÇÃO X PASSARELA DA RODOVIARIA,,R DA CONCEICAO,127,"-30,0243","-51,2196"
10/03/2020 01:58,321,CARLOS P. DE BRUM X FERNANDO M. RIBEIRO,,R CARLOS PESSOA DE BRUM,150,"-30,0572","-51,2067"
10/03/2020 01:58,73,CAVALHADA/OTTO,3249-2193,R AFONSO ARINOS,1016,"-30,1018","-51,2318"
10/03/2020 01:58,252,SANTA MARIA X BENTO GONÇALVES,,R SANTA MARIA,27,"-30,0621","-51,1678"
10/03/2020 01:58,451,FRANCISCO PETUCO X PLINIO BRASIL MILANO,,AV FRANCISCO PETUCO,45,"-30,0195","-51,1756"
10/03/2020 01:58,365,GAL. LIMA E SILVA X LUIZ AFONSO,,R GEN LIMA E SILVA,606,"-30,0383","-51,2213"
10/03/2020 01:58,377,NEUSA GOULART BRIZOLA X VICENTE DA FONT.,,AV NEUSA GOULART BRIZOLA,2629,"-30,0398","-51,1974"
10/03/2020 01:58,477,Vigário José Inácio x Gal. Vitorino,,R VIGARIO JOSE IGNACIO,535,"-30,0283","-51,2285"
10/03/2020 01:58,247,ANNES DIAS X INDEPENDENCIA,,R PROF ANNES DIAS,285,"-30,0297","-51,2219"
10/03/2020 01:58,108,DIVINO,3321-4545,AV JOSE BONIFACIO,753,"-30,0364","-51,2103"
10/03/2020 01:58,424,GENL LIMA E SILVA X LOUREIRO DA SILVA,,R GEN LIMA E SILVA,200,"-30,0358","-51,2247"
10/03/2020 01:58,8,HOSPITAL DA PUC,3336-5921,AV IPIRANGA,6690,"-30,0575","-51,1764"
10/03/2020 01:58,62,JOSÉ INÁCIO DA SILVA C/ BRASILIANO ÍNDIO DE MORAIS,3341-8280,R MARECHAL JOSE INACIO DA SILVA,17,"-30,0092","-51,179"
10/03/2020 01:58,141,DEZESSETE DE JUNHO X GETÃšLIO VARGAS,3227-9786,R DEZESSETE DE JUNHO,755,"-30,0475","-51,2217"
10/03/2020 01:58,91,CENTRO CLÍNICO MÃE DE DEUS,3231-9591,R COSTA,30,"-30,0583","-51,2295"
10/03/2020 01:58,116,VALPARAÍSO X BARÃO DO AMAZONAS,3336-2748,R VALPARAISO,539,"-30,0534","-51,1888"
10/03/2020 01:58,204,VASCO ALVES X DUQUE DE CAXIAS,,R GEN VASCO ALVES,339,"-30,0344","-51,2382"
10/03/2020 01:58,455,DOM PEDRO X AMÉRICO VESPÚCIO,,R DOM PEDRO II,592,"-30,0124","-51,1881"
10/03/2020 01:58,471,Gomes Jardim x Leopoldo Bier,,R GOMES JARDIM,253,"-30,0283","-51,2285"
10/03/2020 01:58,389,RAMIRO BARCELOS X MOSTARDEIROS,,R RAMIRO BARCELOS,1101,"-30,0286","-51,2086"
10/03/2020 01:58,388,PRAIA DE BELAS X COSTA,,AV PRAIA DE BELAS,2254,"-30,0584","-51,2299"
10/03/2020 01:58,52,JOÃO ABOTT X PROTÁSIO ALVES,3331-1212,R JOAO ABBOTT,12,"-30,0428","-51,1896"
10/03/2020 01:58,134,PRAÇA JULIO DE CASTILHOS,3222-5845,PRAÇA JÚLIO DE CASTILHOS,19,"-30,0289","-51,2084"
10/03/2020 01:58,114,HOSPITAL BANCO DE OLHOS,3344-5513,R ENG WALTER BOEHL,285,"-30,0221","-51,1539"
10/03/2020 01:58,334,ENIO AVELINI DA ROCHA X EDUARDO PRADO,,R ENIO AVELINE DA ROCHA,8,"-30,1305","-51,2181"
10/03/2020 01:58,394,SÃO SIMÃO X PROTASIO ALVES,,R SAO SIMAO,49,"-30,0415","-51,1694"
10/03/2020 01:58,429,PLINIO BRASIL MILANO,,AV PLINIO BRASIL MILANO,2175,"-30,0156","-51,1719"
10/03/2020 01:58,110,FELIZARDO X BARÃO DO AMAZONAS,3332-4977,R FELIZARDO,300,"-30,0499","-51,1868"
10/03/2020 01:58,90,PROTASIO ALVES X PROF. DUPLAN,3388-8796,R PROF DUPLAN,14,"-30,0389","-51,2011"
10/03/2020 01:58,81,CONDOMÍNIO JARDIM AMÉRICA,3217-0833,R MOYSES ANTUNES DA CUNHA,55,"-30,0601","-51,2066"
10/03/2020 01:58,457,BELIZE X JOÃO ANTÔNIO DA SILVEIRA,,RUA BELIZE,100,"-30,1563","-51,1408"
10/03/2020 01:58,430,PROTÁSIO ALVES X JAIME TELLES,,AV PROTASIO ALVES,1578,"-30,041","-51,1921"
10/03/2020 01:58,133,BENTO GONÇALVES X APARÍCIO BORGES,3339-2633,AV BENTO GONCALVES,2905,"-30,0639","-51,186"
10/03/2020 01:58,467,BECO SOUZA COSTA X AV PROTASIO ALVES,,BC SOUZA COSTA,58,"-30,0435","-51,1369"
10/03/2020 01:58,363,PROF. LANGENDONCK X PROTASIO ALVES,,R PROF LANGENDONCK,37,"-30,0434","-51,1893"
10/03/2020 01:58,378,NILOPOLIS X CARAZINHO,,AV NILOPOLIS,540,"-30,0367","-51,187"
10/03/2020 01:58,487,Bento Gonçalves 1515,,AV BENTO GONCALVES,1515,"-30,0565","-51,1981"
10/03/2020 01:58,146,RODOVIÁRIA (ANEXO/NOTURNO),,R DA CONCEICAO,120,"-30,0243","-51,2196"
10/03/2020 01:58,419,PRES FRANKLIN ROOSEVELT X SERTÓRIO,,AV PRESIDENTE FRANKLIN ROOSEVELT,168,"-30,0014","-51,2003"
10/03/2020 01:58,281,JOÃO DE OLIVEIRA REMIÃO - PARADA 21,33197059,ESTR JOAO DE OLIVEIRA REMIAO,8640,"-30,1355","-51,0944"
10/03/2020 01:58,360,JOSÉ DO PATROCINIO X JOAQUIM NABUCO,,R JOSE DO PATROCINIO,851,"-30,042","-51,2211"
